# import_name	package_name	default_version	source
bs4	beautifulsoup4	4.12.3	discrepancy
cv2	opencv-python	4.10.0.84	discrepancy
yaml	PyYAML	6.0.2	discrepancy
pil	Pillow	11.0.0	discrepancy
PIL	Pillow	11.0.0	discrepancy
Image	Pillow	11.0.0	discrepancy
ImageDraw	Pillow	11.0.0	discrepancy
ImageFont	Pillow	11.0.0	discrepancy
ImageFilter	Pillow	11.0.0	discrepancy
ImageChops	Pillow	11.0.0	discrepancy
ImageOps	Pillow	11.0.0	discrepancy
ImageEnhance	Pillow	11.0.0	discrepancy
ImageGrab	Pillow	11.0.0	discrepancy
sklearn	scikit-learn	1.5.2	discrepancy
dotenv	python-dotenv	1.0.1	discrepancy
dateutil	python-dateutil	2.9.0.post0	discrepancy
attr	attrs	24.2.0	discrepancy
serial	pyserial	3.5	discrepancy
dns	dnspython	2.7.0	discrepancy
gi	PyGObject	3.50.0	discrepancy
wx	wxPython	4.2.2	discrepancy
docx	python-docx	1.1.2	discrepancy
pptx	python-pptx	1.0.2	discrepancy
fitz	PyMuPDF	1.24.14	discrepancy
magic	python-magic	0.4.27	discrepancy
jwt	PyJWT	2.10.1	discrepancy
jose	python-jose	3.3.0	discrepancy
nacl	PyNaCl	1.5.0	discrepancy
OpenSSL	pyOpenSSL	24.3.0	discrepancy
MySQLdb	mysqlclient	2.2.6	discrepancy
pymysql	PyMySQL	1.1.1	discrepancy
git	GitPython	3.1.43	discrepancy
github	PyGithub	2.5.0	discrepancy
gitlab	python-gitlab	4.13.0	discrepancy
telegram	python-telegram-bot	21.9	discrepancy
discord	discord.py	2.4.0	discrepancy
zmq	pyzmq	26.2.0	discrepancy
engineio	python-engineio	4.10.1	discrepancy
socketio	python-socketio	5.12.0	discrepancy
websocket	websocket-client	1.8.0	discrepancy
ffmpeg	ffmpeg-python	0.2.0	discrepancy
Bio	biopython	1.85	discrepancy
camelot	camelot-py	0.11.0	discrepancy
tabula	tabula-py	2.9.3	discrepancy
decouple	python-decouple	3.8	discrepancy
slugify	python-slugify	8.0.4	discrepancy
hydra	hydra-core	1.3.2	discrepancy
Levenshtein	python-Levenshtein	0.26.1	discrepancy
usb	pyusb	1.2.1	discrepancy
hid	hidapi	0.14.0.post2	discrepancy
smbus	smbus2	0.5.0	discrepancy
nmap	python-nmap	0.7.1	discrepancy
socks	PySocks	1.7.1	discrepancy
snap7	python-snap7	1.4	discrepancy
cups	pycups	2.0.4	discrepancy
rapidjson	python-rapidjson	1.20	discrepancy
skimage	scikit-image	0.24.0	discrepancy
imblearn	imbalanced-learn	0.12.4	discrepancy
umap	umap-learn	0.5.7	discrepancy
lightning	pytorch-lightning	2.4.0	discrepancy
ruamel	ruamel.yaml	0.18.6	discrepancy
mpl_toolkits	matplotlib	3.9.3	discrepancy
pylab	matplotlib	3.9.3	discrepancy
rest_framework	djangorestframework	3.15.2	discrepancy
corsheaders	django-cors-headers	4.6.0	discrepancy
airflow	apache-airflow	2.10.4	discrepancy
faker	Faker	33.1.0	discrepancy
factory	factory-boy	3.3.1	discrepancy
googleapiclient	google-api-python-client	2.157.0	discrepancy
apiclient	google-api-python-client	2.157.0	discrepancy
google_auth_oauthlib	google-auth-oauthlib	1.2.1	discrepancy
osgeo	GDAL	3.10.1	discrepancy
gdal	GDAL	3.10.1	discrepancy
pdfminer	pdfminer.six	20231228	discrepancy
igraph	python-igraph	0.11.8	discrepancy
shapefile	pyshp	2.3.1	discrepancy
speech_recognition	SpeechRecognition	3.12.0	discrepancy
redcap	pycap	2.7.1	discrepancy
OpenGL	PyOpenGL	3.1.7	discrepancy
cairo	pycairo	1.27.0	discrepancy
vlc	python-vlc	3.0.21203	discrepancy
execjs	PyExecJS	1.5.1	discrepancy
png	pypng	0.20220715.0	discrepancy
sdl2	PySDL2	0.9.17	discrepancy
RPi	RPi.GPIO	0.7.1	discrepancy
board	adafruit-blinka	8.52.0	discrepancy
busio	adafruit-blinka	8.52.0	discrepancy
digitalio	adafruit-blinka	8.52.0	discrepancy
fontTools	fonttools	4.55.3	discrepancy
paho	paho-mqtt	2.1.0	discrepancy
mosquitto	paho-mqtt	2.1.0	discrepancy
lxml	lxml	5.3.0	discrepancy
markupsafe	MarkupSafe	3.0.2	discrepancy
jinja2	Jinja2	3.1.4	discrepancy
msgpack	msgpack	1.1.0	discrepancy
ujson	ujson	5.10.0	discrepancy
orjson	orjson	3.10.12	discrepancy
simplejson	simplejson	3.19.3	discrepancy
pydantic	pydantic	2.10.3	discrepancy
marshmallow	marshmallow	3.23.1	discrepancy
omegaconf	omegaconf	2.3.0	discrepancy
asyncpg	asyncpg	0.30.0	discrepancy
motor	motor	3.6.0	discrepancy
redis	redis	5.2.1	discrepancy
cassandra	cassandra-driver	3.29.2	discrepancy
elasticsearch	elasticsearch	8.17.0	discrepancy
opensearchpy	opensearch-py	2.8.0	discrepancy
neo4j	neo4j	5.27.0	discrepancy
peewee	peewee	3.17.8	discrepancy
tortoise	tortoise-orm	0.22.1	discrepancy
sqlmodel	sqlmodel	0.0.22	discrepancy
alembic	alembic	1.14.0	discrepancy
bcrypt	bcrypt	4.2.1	discrepancy
passlib	passlib	1.7.4	discrepancy
oauthlib	oauthlib	3.2.2	discrepancy
authlib	Authlib	1.4.0	discrepancy
arrow	arrow	1.3.0	discrepancy
pendulum	pendulum	3.0.0	discrepancy
pytz	pytz	2024.2	discrepancy
babel	Babel	2.16.0	discrepancy
colorama	colorama	0.4.6	discrepancy
loguru	loguru	0.7.3	discrepancy
tqdm	tqdm	4.67.1	discrepancy
rich	rich	13.9.4	discrepancy
tables	tables	3.10.1	discrepancy
pyarrow	pyarrow	18.1.0	discrepancy
polars	polars	1.16.0	discrepancy
dask	dask	2024.12.1	discrepancy
cartopy	Cartopy	0.24.1	discrepancy
folium	folium	0.18.0	discrepancy
geopandas	geopandas	1.0.1	discrepancy
shapely	shapely	2.0.6	discrepancy
fiona	Fiona	1.10.1	discrepancy
rasterio	rasterio	1.4.3	discrepancy
xarray	xarray	2024.11.0	discrepancy
numba	numba	0.60.0	discrepancy
sympy	sympy	1.13.3	discrepancy
statsmodels	statsmodels	0.14.4	discrepancy
wandb	wandb	0.19.1	discrepancy
mlflow	mlflow	2.19.0	discrepancy
neptune	neptune	1.12.0	discrepancy
ray	ray	2.40.0	discrepancy
prefect	prefect	3.1.7	discrepancy
dagster	dagster	1.9.5	discrepancy
pytest	pytest	8.3.4	discrepancy
hypothesis	hypothesis	6.120.0	discrepancy
responses	responses	0.25.5	discrepancy
freezegun	freezegun	1.4.0	discrepancy
selenium	selenium	4.27.1	discrepancy
playwright	playwright	1.49.1	discrepancy
paramiko	paramiko	3.5.0	discrepancy
docker	docker	7.1.0	discrepancy
kubernetes	kubernetes	31.0.0	discrepancy
ansible	ansible	11.1.0	discrepancy
fabric	fabric	3.2.2	discrepancy
click	click	8.1.7	discrepancy
typer	typer	0.15.1	discrepancy
tabulate	tabulate	0.9.0	discrepancy
pygments	Pygments	2.18.0	discrepancy
werkzeug	Werkzeug	3.1.3	discrepancy
docutils	docutils	0.21.2	discrepancy
sphinx	Sphinx	8.1.3	discrepancy
markdown	Markdown	3.7	discrepancy
celery	celery	5.4.0	discrepancy
kombu	kombu	5.4.2	discrepancy
pika	pika	1.3.2	discrepancy
graphql	graphql-core	3.2.5	discrepancy
graphviz	graphviz	0.20.3	discrepancy
graphene	graphene	3.4.3	discrepancy
networkx	networkx	3.4.2	discrepancy
pydot	pydot	3.0.3	discrepancy
ipywidgets	ipywidgets	8.1.5	discrepancy
nbformat	nbformat	5.10.4	discrepancy
nbconvert	nbconvert	7.16.4	discrepancy
qrcode	qrcode	8.0	discrepancy
mutagen	mutagen	1.47.0	discrepancy
pydub	pydub	0.25.1	discrepancy
librosa	librosa	0.10.2.post1	discrepancy
soundfile	SoundFile	0.12.1	discrepancy
sounddevice	sounddevice	0.5.1	discrepancy
moviepy	moviepy	2.1.1	discrepancy
av	av	13.1.0	discrepancy
Xlib	python-xlib	0.33	discrepancy
wordpress_xmlrpc	python-wordpress-xmlrpc	2.3	discrepancy
social_auth	python-social-auth	0.3.6	discrepancy
mpd	python-mpd2	3.1.1	discrepancy
apt_pkg	python-apt	2.9.0	discrepancy
gflags	python-gflags	3.1.2	discrepancy
cjson	python-cjson	1.2.2	discrepancy
xmpp	xmpppy	0.7.1	discrepancy
AppKit	pyobjc-framework-Cocoa	10.3.1	discrepancy
Foundation	pyobjc-framework-Cocoa	10.3.1	discrepancy
Quartz	pyobjc-framework-Quartz	10.3.1	discrepancy
CoreFoundation	pyobjc-framework-CoreFoundation	10.3.1	discrepancy
SystemConfiguration	pyobjc-framework-SystemConfiguration	10.3.1	discrepancy
PyObjCTools	pyobjc	10.3.1	discrepancy
CoreGraphics	pyobjc-framework-Quartz	10.3.1	discrepancy
LaunchServices	pyobjc-framework-CoreServices	10.3.1	discrepancy
win32api	pywin32	308	discrepancy
win32con	pywin32	308	discrepancy
win32com	pywin32	308	discrepancy
win32gui	pywin32	308	discrepancy
pywintypes	pywin32	308	discrepancy
wmi	WMI	1.5.1	discrepancy
BeautifulSoup	beautifulsoup4	4.12.3	discrepancy
flask_restful	Flask-RESTful	0.3.10	discrepancy
flask_cors	Flask-Cors	5.0.0	discrepancy
flask_login	Flask-Login	0.6.3	discrepancy
flask_wtf	Flask-WTF	1.2.2	discrepancy
flask_sqlalchemy	Flask-SQLAlchemy	3.1.1	discrepancy
flask_migrate	Flask-Migrate	4.0.7	discrepancy
flask_mail	Flask-Mail	0.10.0	discrepancy
flask_caching	Flask-Caching	2.3.0	discrepancy
flask_limiter	Flask-Limiter	3.8.0	discrepancy
flask_jwt_extended	Flask-JWT-Extended	4.7.1	discrepancy
flask_security	Flask-Security	5.5.2	discrepancy
django_extensions	django-extensions	3.2.3	discrepancy
django_filters	django-filter	24.3	discrepancy
django_facebook	django-facebook	6.0.4	discrepancy
haystack	django-haystack	3.3.0	discrepancy
dash_core_components	dash-core-components	2.0.0	discrepancy
dash_html_components	dash-html-components	2.0.0	discrepancy
cv_bridge	cv-bridge	1.16.2	discrepancy
cx_Oracle	cx-Oracle	8.3.0	discrepancy
pycocotools	pycocotools	2.0.8	discrepancy
pytesseract	pytesseract	0.3.13	discrepancy
gspread	gspread	6.1.4	discrepancy
requests_oauthlib	requests-oauthlib	2.0.0	discrepancy
requests_toolbelt	requests-toolbelt	1.0.0	discrepancy
simple_salesforce	simple-salesforce	1.12.6	discrepancy
alive_progress	alive-progress	3.2.0	discrepancy
more_itertools	more-itertools	10.5.0	discrepancy
pandas_datareader	pandas-datareader	0.10.0	discrepancy
sentence_transformers	sentence-transformers	3.3.1	discrepancy
langchain_core	langchain-core	0.3.28	discrepancy
langchain_community	langchain-community	0.3.13	discrepancy
langchain_openai	langchain-openai	0.2.14	discrepancy
segmentation_models_pytorch	segmentation-models-pytorch	0.3.4	discrepancy
slack_sdk	slack-sdk	3.33.4	discrepancy
slack_bolt	slack-bolt	1.21.3	discrepancy
line_profiler	line-profiler	4.2.0	discrepancy
marisa_trie	marisa-trie	1.2.1	discrepancy
usb1	libusb1	3.1.0	discrepancy
libxmp	python-xmp-toolkit	2.0.1	discrepancy
pyvirtualdisplay	PyVirtualDisplay	3.0	discrepancy
imapclient	IMAPClient	3.0.1	discrepancy
facebook_business	facebook-sdk	3.1.0	discrepancy
suds	suds-community	1.2.0	discrepancy
oauth2client	oauth2client	4.1.3	discrepancy
prettytable	prettytable	3.12.0	discrepancy
pyparsing	pyparsing	3.2.0	discrepancy
certifi	certifi	2024.12.14	discrepancy
cffi	cffi	1.17.1	discrepancy
cryptography	cryptography	44.0.0	discrepancy
jsonschema	jsonschema	4.23.0	discrepancy
google.protobuf	protobuf	5.29.2	discrepancy
tastypie	django-tastypie	0.14.7	discrepancy
south	South	1.0.2	discrepancy
Adafruit_ADS1x15	Adafruit-ADS1x15	1.0.2	discrepancy
pychromecast	PyChromecast	14.0.5	discrepancy
exifread	ExifRead	3.0.0	discrepancy
eyeD3	eyeD3	0.9.7	discrepancy
eyed3	eyeD3	0.9.7	discrepancy
cherrypy	CherryPy	18.10.0	discrepancy
plexapi	PlexAPI	4.15.16	discrepancy
lasagne	Lasagne	0.2.dev1	discrepancy
beaker	Beaker	1.13.0	discrepancy
logbook	Logbook	1.7.0.post0	discrepancy
pydrive	PyDrive	1.3.1	discrepancy
webob	WebOb	1.8.9	discrepancy
webtest	WebTest	3.0.1	discrepancy
paste	Paste	3.10.1	discrepancy
vapory	Vapory	0.1.1	discrepancy
vapoursynth	VapourSynth	70	discrepancy
wand	Wand	0.6.13	discrepancy
