# package_name	compatible_versions
requests	2.28.2,2.30.0,2.31.0,2.32.3
numpy	1.16.6,1.21.6,1.24.4,1.25.2,1.26.4
pandas	0.24.2,1.5.3,2.0.3,2.1.4,2.2.3
scipy	1.2.3,1.7.3,1.10.1,1.13.1
pymc3	3.5,3.11.5
theano	1.0.5
theano-pymc	1.1.2
scikit-learn	1.3.2,1.4.2,1.5.2
beautifulsoup4	4.11.2,4.12.2,4.12.3
opencv-python	4.8.1.78,4.9.0.80,4.10.0.84
pyyaml	6.0.1,6.0.2
pillow	10.4.0,11.0.0
python-dotenv	1.0.0,1.0.1
python-dateutil	2.8.2,2.9.0.post0
django	4.2.16,5.0.8,5.1.3
flask	3.0.3,3.1.0
fastapi	0.111.1,0.112.2,0.115.5
attrs	23.2.0,24.2.0
