# import_name	package_name	default_version	source
requests	requests	2.32.3	seed
numpy	numpy	1.26.4	seed
pandas	pandas	2.2.3	seed
scipy	scipy	1.13.1	seed
scrapy	scrapy		seed
sip	sip		seed
matplotlib	matplotlib	3.9.2	seed
sklearn	scikit-learn	1.5.2	seed
bs4	beautifulsoup4	4.12.3	seed
cv2	opencv-python	4.10.0.84	seed
yaml	PyYAML	6.0.2	seed
pil	Pillow	11.0.0	seed
dotenv	python-dotenv	1.0.1	seed
dateutil	python-dateutil	2.9.0.post0	seed
lxml	lxml	5.3.0	seed
torch	torch	2.5.1	seed
tensorflow	tensorflow	2.18.0	seed
django	Django	5.1.3	seed
flask	Flask	3.1.0	seed
fastapi	fastapi	0.115.5	seed
pydantic	pydantic	2.10.2	seed
seaborn	seaborn	0.13.2	seed
click	click	8.1.7	seed
typer	typer	0.13.1	seed
attr	attrs	24.2.0	seed
cryptography	cryptography	43.0.3	seed
